Season,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,Matches,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2
2002-2003,Olivier Dacourt,fr FRA,MF,Leeds United,27,1974,7,4,369,4.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Christian Dailly,sct SCO,DF,West Ham,28,1973,26,23,"2,086",23.2,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,,,,,,
2002-2003,Neil Danns,gy GUY,MF,Blackburn,19,1982,2,1,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Andrew Davies,eng ENG,DF,Middlesbrough,17,1984,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Kevin Davies,eng ENG,FW,Southampton,25,1977,9,1,150,1.7,1,0,1,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,Matches,,,,,,,,,,,,
2002-2003,Simon Davies,wls WAL,MF,Tottenham,22,1979,36,33,"2,994",33.3,5,3,8,5,0,0,7,1,0.15,0.09,0.24,0.15,0.24,Matches,,,,,,,,,,,,
2002-2003,Sean Davis,eng ENG,MF,Fulham,22,1979,28,28,"2,489",27.7,3,1,4,3,0,0,3,0,0.11,0.04,0.14,0.11,0.14,Matches,,,,,,,,,,,,
2002-2003,Jermain Defoe,eng ENG,FW,West Ham,19,1982,38,29,"2,812",31.2,8,6,14,8,0,0,3,0,0.26,0.19,0.45,0.26,0.45,Matches,,,,,,,,,,,,
2002-2003,Mark Delaney,wls WAL,DF,Aston Villa,26,1976,12,12,"1,061",11.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Rory Delap,ie IRL,MF,Southampton,26,1976,24,22,"1,900",21.1,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,,,,,,,,,,,,
