Player,Season,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
Lewis Miley,2022-2023,0,0,1,14,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0.0
Mark Gillespie,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Neco Williams,2022-2023,1,1,54,1872,41,257.3,372.2,209.0,1,284,84.0,4,0,7,12.1
Jonjo Shelvey,2022-2023,0,0,16,573,11,102.1,55.6,11.0,0,67,16.3,1,0,2,0.0
Chris Wood,2022-2023,3,0,53,807,9,82.1,145.2,169.0,7,163,39.3,4,0,0,0.5
Harry Arter,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4
Steve Cook,2022-2023,0,0,20,956,21,39.3,177.4,28.0,0,149,24.4,2,0,4,0.1
Lyle Taylor,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.2
Jack Colback,2022-2023,0,0,14,492,11,33.7,62.0,2.0,0,73,9.9,0,0,0,0.7
Brice Samba,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Carlos Ribeiro Dias,2022-2023,0,0,1,6,0,0.1,2.4,0.0,0,3,0.3,0,0,0,0.3
Joe Lolley,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Scott McKenna,2022-2023,0,0,40,1570,32,93.9,278.8,46.0,0,275,41.8,5,0,4,0.1
Mohamed DrÃ¤ger,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Ryan Yates,2022-2023,0,3,53,1833,36,97.3,206.8,233.0,0,177,53.1,5,0,5,0.0
Joe Worrall,2022-2023,1,0,61,2215,44,66.4,471.0,92.0,2,366,62.5,5,0,6,0.1
Jonathan Panzo,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Xande Nascimento da Costa Silva,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Sam Surridge,2022-2023,1,0,26,306,5,15.9,59.4,92.0,3,61,15.7,0,0,2,0.7
Richie Laryea,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
LoÃ¯c Mbe Soh,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Brennan Johnson,2022-2023,8,5,122,2930,54,373.6,478.2,729.0,15,384,157.4,7,0,6,1.6
Alex Mighten,2022-2023,0,0,1,7,0,0.3,0.0,0.0,0,1,0.0,0,0,0,0.0
Braian Ojeda RodrÃ­guez,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Taiwo Awoniyi,2022-2023,10,1,100,1395,29,129.6,375.8,378.0,16,320,87.8,5,0,2,1.2
Dean Henderson,2022-2023,0,0,82,1620,31,0.0,474.4,0.0,12,367,47.5,6,0,2,5.2
Giulian Biancone,2022-2023,0,0,2,15,1,0.0,6.8,0.0,0,9,0.7,0,0,0,0.0
Willy Boly,2022-2023,0,1,37,684,10,11.8,145.0,24.0,7,147,18.3,3,0,2,0.1
Morgan Gibbs-White,2022-2023,5,12,145,3151,61,941.1,593.4,624.0,11,479,215.7,8,0,6,1.3
Moussa NiakhatÃ©,2022-2023,0,0,25,1163,22,14.8,173.4,61.0,0,141,24.9,2,0,1,0.0
Omar Richards,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Wayne Hennessey,2022-2023,0,0,8,271,5,0.0,62.2,0.0,0,46,6.3,0,0,0,1.4
Harry Toffolo,2022-2023,0,0,30,933,17,93.5,147.0,67.0,1,134,30.6,2,0,2,0.1
Lewis O'Brien,2022-2023,1,0,22,578,14,56.4,107.8,47.0,0,88,21.1,1,0,2,0.0
Jesse Lingard,2022-2023,0,1,33,918,17,151.9,50.6,127.0,0,93,32.9,5,0,1,1.1
Orel Mangala,2022-2023,1,1,50,1543,24,61.6,191.4,75.0,0,190,32.8,5,0,3,0.0
Oliver Hammond,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Remo Freuler,2022-2023,0,0,54,2157,47,174.7,272.2,54.0,0,267,50.3,6,0,4,0.0
Cheikhou KouyatÃ©,2022-2023,1,0,35,871,23,82.8,158.8,81.0,2,144,32.2,2,0,3,0.1
Emmanuel Dennis,2022-2023,2,2,39,709,17,96.8,166.4,286.0,3,113,54.6,1,0,3,0.1
Renan Augusto Lodi dos Santos,2022-2023,0,2,56,2211,48,208.2,319.0,97.0,3,363,62.5,5,0,7,0.2
LoÃ¯c BadÃ©,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Serge Aurier,2022-2023,1,0,70,1943,31,164.1,431.0,112.0,8,336,70.9,6,0,2,0.3
Dale Taylor,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Jordan Smith,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Gustavo Henrique Furtado Scarpa,2022-2023,0,0,5,177,1,17.3,15.0,25.0,0,16,5.7,0,0,1,0.0
Danilo dos Santos de Oliveira,2022-2023,3,2,48,976,18,108.1,253.8,113.0,5,178,47.1,1,0,1,0.2
Keylor Navas,2022-2023,0,0,43,1530,32,0.0,387.6,0.0,5,273,38.7,2,0,2,0.8
Felipe Augusto de Almeida Monteiro,2022-2023,0,1,25,1417,32,79.5,379.0,130.0,3,233,59.0,1,0,4,0.1
AndrÃ© Ayew,2022-2023,0,0,11,306,10,17.1,34.0,53.0,0,27,10.5,0,0,1,0.0
George Shelvey,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Ainsley Maitland-Niles,2022-2023,0,1,38,1400,31,159.2,280.2,23.0,0,202,46.0,3,0,3,0.0
RomÃ©o Lavia,2022-2023,1,1,57,2219,50,247.1,344.8,46.0,0,317,64.2,4,0,9,0.2
Theo Walcott,2022-2023,2,2,49,1123,30,159.1,164.6,199.0,1,140,52.1,2,0,1,0.0
Alex McCarthy,2022-2023,0,0,8,540,17,0.0,84.2,0.0,0,83,8.4,0,0,0,0.1
Oriol Romeu Vidal,2022-2023,0,0,2,74,4,3.8,6.2,2.0,0,9,1.2,0,0,0,0.0
Nathan Redmond,2022-2023,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0
Stuart Armstrong,2022-2023,2,2,57,1391,34,282.8,234.2,267.0,2,221,78.6,1,0,6,0.1
Mohamed Elyounoussi,2022-2023,1,1,62,2162,45,297.2,285.0,388.0,0,218,96.8,2,0,4,0.1
James Ward-Prowse,2022-2023,9,4,142,3371,72,1162.9,880.4,319.0,18,747,236.3,4,0,6,4.9
Adam Armstrong,2022-2023,2,1,54,1321,24,148.8,142.0,275.0,3,161,55.6,1,0,2,0.7
Kyle Walker-Peters,2022-2023,1,0,56,2650,58,277.9,403.4,198.0,2,335,87.9,3,0,4,0.6
Jan Bednarek,2022-2023,0,0,32,1770,40,38.4,415.0,43.0,2,321,49.7,3,0,5,0.2
Che Adams,2022-2023,5,5,94,1987,41,336.4,340.4,583.0,9,262,124.6,4,0,1,0.8
Nathan Tella,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Lyanco Silveira Neves Vojnovic,2022-2023,1,1,29,1173,26,52.8,281.6,114.0,0,209,45.0,0,0,4,0.0
Yan Valery,2022-2023,0,0,0,45,2,0.9,4.0,0.0,0,1,0.5,0,0,0,0.3
Will Smallbone,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Ibrahima Diallo,2022-2023,0,0,19,813,19,66.0,85.4,28.0,0,95,17.7,0,0,4,0.4
Romain Perraud,2022-2023,2,2,71,1828,35,251.8,360.6,298.0,5,304,90.9,4,0,4,0.4
Moussa Djenepo,2022-2023,0,2,27,702,14,123.2,141.8,70.0,0,117,33.7,0,0,1,0.1
Tino Livramento,2022-2023,0,0,2,26,0,0.0,5.8,0.0,0,13,0.6,0,0,0,0.0
Mohammed Salisu,2022-2023,0,1,33,1971,41,109.7,537.4,167.0,2,305,81.5,1,0,5,0.1
Mateusz Lis,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Gavin Bazunu,2022-2023,0,0,84,2880,56,10.0,633.0,0.0,3,485,64.2,4,0,0,0.6
Armel Bella-Kotchap,2022-2023,0,2,49,1881,39,76.4,422.4,105.0,5,345,60.6,3,0,4,0.2
